"id","name","group","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"16120","содействии","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","1","1"
"16121","ошибку","СУЩЕСТВИТЕЛЬНОЕ","1","0","0","0","0","0","0","0"
"16122","шутя","ДЕЕПРИЧАСТИЕ","0","0","0","0","1","0","0","0"
"16123","сохранилась","ГЛАГОЛ","1","1","0","0","1","0","0","1"
"16124","взорами","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16125","лечить","ИНФИНИТИВ","0","0","0","0","0","1","0","0"
"16126","таковым","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","0","2"
"16127","берегись","ГЛАГОЛ","4","9","2","2","4","0","0","2"
"16128","тягчайшему","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16129","устроена","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","1","0","1"
"16130","строение","СУЩЕСТВИТЕЛЬНОЕ","0","3","4","0","0","1","0","1"
"16131","собственность","СУЩЕСТВИТЕЛЬНОЕ","7","1","0","1","0","0","1","0"
"16132","мышами","СУЩЕСТВИТЕЛЬНОЕ","0","1","0","0","0","0","0","0"
"16133","искусен","ПРИЛАГАТЕЛЬНОЕ","0","0","1","0","1","0","0","0"
"16134","объявлена","ПРИЛАГАТЕЛЬНОЕ","1","0","0","0","0","1","0","0"
"16135","загоном","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16136","соединился","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16137","входящим","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","0","1","0"
"16138","пище","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","1","0","1","1","1"
"16139","бездне","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16140","владей","ГЛАГОЛ","0","1","0","0","0","0","0","0"
"16142","царица","СУЩЕСТВИТЕЛЬНОЕ","0","3","14","1","1","1","2","0"
"16143","предатели","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16144","отличайте","ГЛАГОЛ","1","0","0","0","0","0","0","0"
"16145","потребуется","ГЛАГОЛ","0","0","1","0","0","0","1","0"
"16146","неизвестным","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16147","судьбы","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","1","2","0","0","1"
"16148","прекратилась","ГЛАГОЛ","0","0","0","0","1","0","0","0"
"16149","окажут","ГЛАГОЛ","0","0","0","0","1","1","0","0"
"16150","снисходителен","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","1","0","0","0"
"16151","закрыл","ГЛАГОЛ","3","4","2","1","3","0","0","1"
"16152","ног","СУЩЕСТВИТЕЛЬНОЕ","4","14","5","5","13","4","18","3"
"16153","выжидали","ГЛАГОЛ","0","0","0","0","0","1","0","0"
"16154","падающего","ПРИЛАГАТЕЛЬНОЕ","0","1","1","0","0","0","0","0"
"16155","ложу","ГЛАГОЛ","0","0","1","0","0","0","0","0"
"16156","спросим","ГЛАГОЛ","1","0","1","0","0","0","0","0"
"16157","месяцы","СУЩЕСТВИТЕЛЬНОЕ","1","0","2","2","0","0","0","1"
"16158","изменимся","ГЛАГОЛ","0","0","0","0","0","0","0","2"
"16159","красотою","СУЩЕСТВИТЕЛЬНОЕ","0","0","1","3","0","2","0","0"
"16160","зрелищем","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","0","0","0","1"
"16161","западное","ПРИЛАГАТЕЛЬНОЕ","0","0","0","0","0","1","0","0"
"16162","кустарником","СУЩЕСТВИТЕЛЬНОЕ","0","0","0","0","1","0","1","0"
"16164","сохранили","ГЛАГОЛ","0","0","2","2","0","5","3","0"
"16165","водятся","ГЛАГОЛ","0","0","0","0","1","0","0","0"
