"id","group","name","0_5000_old","5000_10000_old","10000_15000_old","15000_20000_old","20000_25000_old","25000_30000_old","30000_35000_new","35000_38546_new"
"22086","СУЩЕСТВИТЕЛЬНОЕ","стремления","0","0","0","1","0","1","0","0"
"22087","ГЛАГОЛ","составь","0","0","0","0","1","0","0","0"
"22088","СУЩЕСТВИТЕЛЬНОЕ","мыслях","0","1","0","3","0","2","0","3"
"22089","ПРИЛАГАТЕЛЬНОЕ","проницательным","0","0","0","1","0","0","0","0"
"22090","ГЛАГОЛ","выбирает","0","0","0","0","1","0","0","0"
"22091","ГЛАГОЛ","производилась","0","0","0","0","0","2","0","0"
"22094","СУЩЕСТВИТЕЛЬНОЕ","толкования","0","0","0","0","0","0","1","0"
"22095","ГЛАГОЛ","вспоминалось","0","0","0","1","0","0","0","0"
"22096","ПРИЛАГАТЕЛЬНОЕ","летучим","0","0","0","0","1","0","0","0"
"22097","ПРИЛАГАТЕЛЬНОЕ","родственное","0","1","0","0","0","0","0","0"
"22098","ПРИЛАГАТЕЛЬНОЕ","утреннее","0","0","2","0","0","0","0","0"
"22099","СУЩЕСТВИТЕЛЬНОЕ","воинством","0","0","1","0","2","2","1","1"
"22100","ПРИЛАГАТЕЛЬНОЕ","безрассудный","0","0","0","0","3","0","0","1"
"22101","ГЛАГОЛ","передавайте","2","0","0","0","0","0","0","0"
"22102","ПРИЛАГАТЕЛЬНОЕ","законное","0","0","0","0","0","0","0","1"
"22103","ПРИЛАГАТЕЛЬНОЕ","сотового","0","0","0","0","0","0","1","0"
"22104","ПРИЛАГАТЕЛЬНОЕ","прекраснейшее","0","0","0","0","1","0","0","0"
"22105","ПРИЛАГАТЕЛЬНОЕ","придворных","0","0","1","0","0","0","0","0"
"22106","СУЩЕСТВИТЕЛЬНОЕ","навозе","0","0","0","0","1","0","0","0"
"22107","ГЛАГОЛ","отправилась","0","2","2","0","0","1","0","0"
"22108","СУЩЕСТВИТЕЛЬНОЕ","мешки","6","1","2","0","0","0","0","0"
"22109","СУЩЕСТВИТЕЛЬНОЕ","даниилом","0","0","0","0","0","1","1","0"
"22110","ПРИЛАГАТЕЛЬНОЕ","свежих","1","0","0","0","0","0","0","0"
"22111","ГЛАГОЛ","наполнила","3","1","4","1","0","1","0","0"
"22112","ПРИЛАГАТЕЛЬНОЕ","чисто","2","2","0","6","0","1","4","6"
"22113","ПРИЛАГАТЕЛЬНОЕ","последнее","0","1","0","0","1","4","4","4"
"22115","ГЛАГОЛ","возвращаются","0","1","0","5","4","0","0","0"
"22116","ГЛАГОЛ","возрастает","0","0","0","0","1","0","0","3"
"22117","ПРИЛАГАТЕЛЬНОЕ","разбит","0","0","0","1","1","4","0","0"
"22118","ГЛАГОЛ","славится","0","1","0","0","0","0","0","1"
"22120","ПРИЛАГАТЕЛЬНОЕ","странное","0","0","0","0","0","0","1","0"
"22122","ГЛАГОЛ","обнял","3","0","0","0","0","0","0","0"
"22123","СУЩЕСТВИТЕЛЬНОЕ","возрастом","0","0","0","0","0","0","0","1"
"22124","СУЩЕСТВИТЕЛЬНОЕ","опытами","0","0","0","0","0","1","0","0"
"22125","ГЛАГОЛ","отыскал","0","0","0","0","0","1","0","0"
"22126","ГЛАГОЛ","прославится","0","0","0","0","1","0","3","1"
"22127","ПРИЛАГАТЕЛЬНОЕ","умершему","4","0","0","0","0","0","0","0"
"22128","СУЩЕСТВИТЕЛЬНОЕ","родину","4","1","0","0","0","0","0","0"
"22129","ГЛАГОЛ","сотворил","8","2","9","27","22","11","29","4"
"22130","СУЩЕСТВИТЕЛЬНОЕ","грешников","2","0","1","4","13","2","10","4"
"22131","ПРИЛАГАТЕЛЬНОЕ","дальние","0","0","0","0","4","0","0","0"
"22132","СУЩЕСТВИТЕЛЬНОЕ","кончина","1","0","0","0","0","1","1","0"
"22134","СУЩЕСТВИТЕЛЬНОЕ","приобретения","0","0","0","2","1","0","0","0"
"19059","СУЩЕСТВИТЕЛЬНОЕ","платок","0","0","0","0","0","0","1","0"
"22135","ГЛАГОЛ","показываете","0","0","0","0","0","0","0","1"
"22136","ГЛАГОЛ","любила","1","1","0","0","0","1","0","0"
"22137","ГЛАГОЛ","пропадает","0","0","1","2","0","0","0","0"
"22138","ГЛАГОЛ","веду","3","0","0","1","0","0","0","0"
"22139","ГЛАГОЛ","ликуют","0","0","1","2","2","0","0","0"
"22140","СУЩЕСТВИТЕЛЬНОЕ","имуществ","0","0","0","1","1","0","0","0"
"22142","ГЛАГОЛ","выбирали","0","0","0","0","0","0","1","0"
"22143","ПРИЛАГАТЕЛЬНОЕ","римских","0","0","0","0","0","0","1","0"
"13573","ПРИЛАГАТЕЛЬНОЕ","гладкую","1","0","0","0","0","0","0","0"
"22144","ПРИЛАГАТЕЛЬНОЕ","головных","0","0","0","0","0","1","0","0"
"22145","ГЛАГОЛ","дорожил","0","1","0","0","0","0","1","0"
"22146","ГЛАГОЛ","огорчило","0","0","0","0","0","1","0","0"
"22147","ПРИЛАГАТЕЛЬНОЕ","праведны","0","1","1","4","0","1","2","5"
"22148","ГЛАГОЛ","простишь","0","0","0","0","1","0","0","0"
"22149","ПРИЛАГАТЕЛЬНОЕ","страшного","0","1","1","2","2","2","0","0"
"22150","СУЩЕСТВИТЕЛЬНОЕ","князья","8","8","13","9","37","20","1","0"
"22151","ГЛАГОЛ","испытайте","0","0","0","0","0","1","0","0"
"22152","ПРИЛАГАТЕЛЬНОЕ","мужественных","0","0","6","0","0","1","0","0"
"22153","ПРИЛАГАТЕЛЬНОЕ","летние","0","0","0","0","3","0","0","0"
"22154","ПРИЛАГАТЕЛЬНОЕ","неистово","0","0","0","0","0","0","0","1"
"22155","ПРИЛАГАТЕЛЬНОЕ","женский","1","0","1","0","0","0","0","0"
"22156","ПРИЛАГАТЕЛЬНОЕ","просторные","0","0","0","0","1","0","0","0"
"22158","СУЩЕСТВИТЕЛЬНОЕ","изречений","0","0","1","1","1","0","0","0"
"22159","ГЛАГОЛ","допустили","0","1","0","0","1","0","1","0"
"22160","СУЩЕСТВИТЕЛЬНОЕ","святилищу","2","0","0","1","1","3","0","0"
"22161","СУЩЕСТВИТЕЛЬНОЕ","стрелою","1","0","0","1","2","0","0","1"
"22162","СУЩЕСТВИТЕЛЬНОЕ","грешнике","0","0","0","0","0","0","2","0"
"22163","ГЛАГОЛ","разгорелась","0","0","0","1","2","0","0","0"
"22165","СУЩЕСТВИТЕЛЬНОЕ","предателем","0","0","0","0","0","1","1","0"
"22166","ПРИЛАГАТЕЛЬНОЕ","красивой","0","1","0","1","0","1","0","0"
"22167","ГЛАГОЛ","увидишь","6","11","6","4","8","6","7","0"
"22168","СУЩЕСТВИТЕЛЬНОЕ","костру","0","0","0","0","0","1","0","0"
"22169","ГЛАГОЛ","браните","0","1","0","0","0","0","0","0"
"22170","ПРИЛАГАТЕЛЬНОЕ","постоянной","1","0","0","0","0","0","0","0"
"22171","ГЛАГОЛ","принадлежало","1","3","3","0","2","0","0","0"
"22172","ПРИЛАГАТЕЛЬНОЕ","блаженна","0","0","0","1","1","0","1","0"
"12118","ГЛАГОЛ","обошла","0","0","0","0","1","0","0","0"
"22173","ПРИЛАГАТЕЛЬНОЕ","достойнейшего","0","0","1","0","0","0","0","0"
"22174","ПРИЛАГАТЕЛЬНОЕ","пусто","0","0","1","1","3","0","0","0"
"22175","ПРИЛАГАТЕЛЬНОЕ","обеих","1","5","0","0","0","3","0","2"
"22176","СУЩЕСТВИТЕЛЬНОЕ","тщеславия","0","0","1","0","0","1","0","0"
"22177","СУЩЕСТВИТЕЛЬНОЕ","местах","0","12","9","11","9","12","4","0"
"22178","ГЛАГОЛ","прокляни","5","0","0","0","0","0","0","0"
"22179","ПРИЛАГАТЕЛЬНОЕ","подозрителен","0","0","0","0","1","0","0","0"
"22180","ПРИЛАГАТЕЛЬНОЕ","своею","12","23","9","11","29","15","12","15"
"22181","ГЛАГОЛ","позовите","1","5","0","0","1","0","0","0"
"22182","СУЩЕСТВИТЕЛЬНОЕ","гада","7","7","5","0","1","1","0","0"
"22183","ГЛАГОЛ","исполнят","0","0","0","0","1","2","0","0"
"19060","ПРИЛАГАТЕЛЬНОЕ","рассеяны","0","0","4","0","3","6","1","0"
"22184","ГЛАГОЛ","провозгласят","0","0","0","1","1","0","0","0"
"22185","ГЛАГОЛ","покроют","8","0","0","0","0","2","0","0"
"22186","ПРИЛАГАТЕЛЬНОЕ","красны","0","0","0","0","1","0","0","0"
"22187","ГЛАГОЛ","приставили","0","0","2","0","0","1","0","0"
"4112","ГЛАГОЛ","варил","1","0","0","0","0","0","0","0"
"22189","СУЩЕСТВИТЕЛЬНОЕ","плечами","0","1","1","0","0","0","0","0"
"22190","ПРИЛАГАТЕЛЬНОЕ","прокляты","1","3","1","0","1","1","0","0"
"22192","ПРИЛАГАТЕЛЬНОЕ","кончен","0","0","1","0","0","0","0","0"
"13574","ГЛАГОЛ","избавился","0","0","0","0","0","0","0","1"
"22194","ПРИЛАГАТЕЛЬНОЕ","тамошним","0","0","0","0","0","0","1","0"
"22195","ГЛАГОЛ","входила","0","0","2","0","0","1","0","0"
"22196","ПРИЛАГАТЕЛЬНОЕ","лучшего","2","2","2","2","0","0","0","2"
"22198","ПРИЛАГАТЕЛЬНОЕ","правдиво","0","0","0","0","0","0","1","0"
"22201","ГЛАГОЛ","споткнулся","0","0","1","0","0","0","0","0"
"22202","ПРИЛАГАТЕЛЬНОЕ","умный","0","0","1","3","0","0","0","0"
"22203","СУЩЕСТВИТЕЛЬНОЕ","груз","0","0","0","0","0","0","1","1"
"22206","СУЩЕСТВИТЕЛЬНОЕ","скотом","11","4","7","2","0","2","0","0"
"22207","ПРИЛАГАТЕЛЬНОЕ","старательно","0","0","0","1","0","0","0","0"
"22208","ПРИЛАГАТЕЛЬНОЕ","собственные","0","0","0","1","1","1","1","0"
"22209","ПРИЛАГАТЕЛЬНОЕ","бывшею","0","0","0","0","0","1","0","0"
"22210","ПРИЛАГАТЕЛЬНОЕ","третьего","11","16","6","0","0","2","4","2"
"22211","ПРИЛАГАТЕЛЬНОЕ","указаны","0","0","0","0","0","1","0","0"
"22212","СУЩЕСТВИТЕЛЬНОЕ","палатки","0","0","0","0","3","2","0","0"
"22213","СУЩЕСТВИТЕЛЬНОЕ","грабежа","0","0","0","0","0","2","0","0"
